iter	RMSE
0	14.12712317
1	13.21544446
2	12.37811109
3	11.63819302
4	10.93691595
5	10.41824818
6	9.849495781
7	9.409393748
8	8.983052586
9	8.576856551
10	8.237813926
11	7.944351781
12	7.705550358
13	7.483124916
14	7.242167974
15	7.031597373
16	6.868704118
17	6.698097399
18	6.565302019
19	6.4435996
20	6.312612687
21	6.202848827
22	6.111305284
23	6.020233639
24	5.937190967
25	5.868758636
26	5.800129907
27	5.721265996
28	5.664316758
29	5.60863939
30	5.567246788
31	5.520875038
32	5.4883077
33	5.45941528
34	5.432121795
35	5.410357828
36	5.380018464
37	5.354403768
38	5.321697792
39	5.298808575
40	5.275541785
41	5.26086875
42	5.244690422
43	5.230548269
44	5.208924563
45	5.191970419
46	5.174705478
47	5.15307087
48	5.137769703
49	5.128889983
50	5.118703846
51	5.113695629
52	5.104630544
53	5.088354223
54	5.075838008
55	5.061425112
56	5.046361556
57	5.040392837
58	5.025204673
59	5.021286634
60	5.00716641
61	4.995365678
62	4.984902118
63	4.973912223
64	4.959501317
65	4.957480441
66	4.94613989
67	4.939406532
68	4.932373169
69	4.919162996
70	4.903993317
71	4.892063033
72	4.882250049
73	4.871534293
74	4.867070877
75	4.856968746
76	4.848650429
77	4.839655635
78	4.82226535
79	4.811014736
80	4.800896788
81	4.791258833
82	4.780661269
83	4.768175594
84	4.761511563
85	4.754452592
86	4.748904209
87	4.735231847
88	4.725200299
89	4.718498162
90	4.711250324
91	4.70688295
92	4.694720937
93	4.684677482
94	4.679547223
95	4.667837281
96	4.656875104
97	4.647697065
98	4.639548952
99	4.635867595
