iter	Passed	Remaining
0	2	262
1	4	214
2	5	184
3	7	171
4	8	159
5	9	151
6	11	148
7	13	151
8	15	157
9	16	151
10	18	148
11	19	145
12	21	142
13	22	139
14	24	138
15	26	141
16	28	139
17	29	135
18	30	130
19	31	127
20	32	123
21	34	121
22	35	119
23	37	119
24	39	119
25	41	117
26	42	115
27	43	112
28	45	110
29	46	109
30	48	107
31	50	107
32	52	105
33	53	103
34	54	101
35	55	98
36	56	96
37	58	94
38	59	93
39	61	92
40	63	92
41	65	90
42	66	88
43	68	86
44	69	85
45	71	83
46	73	82
47	76	82
48	77	81
49	79	79
50	82	78
51	84	77
52	87	77
53	89	76
54	90	74
55	91	72
56	93	70
57	94	68
58	96	66
59	98	65
60	100	64
61	101	62
62	103	60
63	104	58
64	105	56
65	106	54
66	107	53
67	109	51
68	112	50
69	114	48
70	115	47
71	116	45
72	117	43
73	118	41
74	119	39
75	120	38
76	122	36
77	125	35
78	126	33
79	127	31
80	128	30
81	129	28
82	130	26
83	132	25
84	133	23
85	135	22
86	137	20
87	138	18
88	139	17
89	140	15
90	141	14
91	143	12
92	144	10
93	146	9
94	148	7
95	149	6
96	150	4
97	152	3
98	153	1
99	154	0
